procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217811664  37232 25773196    0    0     0    16 1127  180  8  0 92  0  0  0
 1  0      0 217783052  37232 25773180    0    0     0     6 1174  267  6  2 92  0  0  0
 1  0      0 217809552  37232 25773180    0    0     0     6 1138  184  8  0 92  0  0  0
 1  0      0 217779260  37240 25773212    0    0     0    22 1178  284  6  2 92  0  0  0
 1  0      0 217805984  37240 25773212    0    0     0     0 1123  167  8  0 92  0  0  0
 1  0      0 217785432  37240 25773212    0    0     0     6 1304  305  6  2 92  0  0  0
 1  0      0 217804108  37248 25773204    0    0     0    18 1135  181  8  0 92  0  0  0
 1  0      0 217783708  37248 25773244    0    0     0     2 1182  293  6  2 92  0  0  0
 1  0      0 217810432  37248 25773244    0    0     0     6 1148  173  8  0 92  0  0  0
 1  0      0 217811700  37256 25773220    0    0     0    12 1214  337  6  2 92  0  0  0
 1  0      0 217814852  37256 25773228    0    0     0     0 1113  149  8  0 92  0  0  0
 1  0      0 217810680  37256 25773180    0    0     0     6 1178  274  6  2 92  0  0  0
 1  0      0 217814056  37264 25773172    0    0     0    10 1124  177  8  0 92  0  0  0
 1  0      0 217802840  37264 25773180    0    0     0     0 1172  276  6  2 92  0  0  0
 1  0      0 217809964  37264 25773180    0    0     0     6 1134  182  8  0 92  0  0  0
 1  0      0 217801820  37272 25773228    0    0     0    10 1173  272  6  2 92  0  0  0
 1  0      0 218340728  37272 25773228    0    0     0     0 1132  206  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217800612  37272 25773196    0    0     0     6 1163  230  6  2 92  0  0  0
 1  0      0 218347668  37280 25773192    0    0     0    10 1145  236  8  1 92  0  0  0
 1  0      0 217792360  37280 25773252    0    0     0     2 1708  541  8  2 91  0  0  0
 1  0      0 218393024  37280 25773248    0    0     0     8 1479  421  7  1 92  0  0  0
 1  0      0 217812196  37288 25773200    0    0     0    30 1156  213  7  1 92  0  0  0
 1  0      0 218303644  37288 25773216    0    0     0     4 1164  250  7  1 92  0  0  0
 1  0      0 217810932  37288 25773216    0    0     0     6 1152  208  7  1 92  0  0  0
 1  0      0 218045236  37296 25773232    0    0     0    30 1148  244  7  2 92  0  0  0
 1  0      0 217818728  37296 25773232    0    0     0     0 1144  205  8  1 92  0  0  0
 1  0      0 217963932  37296 25773216    0    0     0     6 1153  234  7  2 92  0  0  0
 1  0      0 217818476  37304 25773216    0    0     0    12 1157  228  8  0 92  0  0  0
 1  0      0 217859748  37304 25773200    0    0     0     0 1147  246  6  2 92  0  0  0
 1  0      0 217817892  37304 25773200    0    0     0     6 1145  197  8  0 92  0  0  0
 1  0      0 217787068  37312 25773192    0    0     0    10 1158  256  6  2 92  0  0  0
 1  0      0 217813792  37312 25773200    0    0     0     0 1128  179  8  0 92  0  0  0
 1  0      0 217790668  37312 25773184    0    0     0     6 1162  254  6  2 92  0  0  0
 1  0      0 217809344  37320 25773184    0    0     0    10 1141  194  8  0 92  0  0  0
 1  0      0 217790140  37320 25773216    0    0     0     0 1151  247  6  2 92  0  0  0
 1  0      0 217815136  37320 25773216    0    0     0     6 1241  244  8  0 92  0  0  0
 1  0      0 217810964  37328 25773184    0    0     0    16 1170  278  6  2 92  0  0  0
 1  0      0 217814116  37328 25773184    0    0     0     0 1130  185  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217810248  37328 25773184    0    0     0     8 1180  274  6  2 92  0  0  0
 1  0      0 217813624  37336 25773176    0    0     0    14 1134  182  8  0 92  0  0  0
 1  0      0 217809452  37336 25773216    0    0     0     0 1155  251  6  2 92  0  0  0
 1  0      0 217815280  37336 25773216    0    0     0     6 1763  595  8  0 91  0  0  0
 1  0      0 217807504  37344 25773200    0    0     0    16 1184  289  6  2 92  0  0  0
 1  0      0 218141160  37344 25773200    0    0     0     0 1141  221  8  0 92  0  0  0
 1  0      0 217807132  37344 25773184    0    0     0    10 1155  217  6  2 92  0  0  0
 1  0      0 218353812  37352 25773176    0    0     0    16 1164  246  8  1 92  0  0  0
 1  0      0 217805900  37352 25773216    0    0     0     0 1126  181  7  2 92  0  0  0
 1  0      0 218374684  37352 25773216    0    0     0     6 1170  264  7  1 92  0  0  0
 1  0      0 217810280  37360 25773216    0    0     0    10 1135  193  7  1 92  0  0  0
 1  0      0 218332576  37360 25773280    0    0     0     0 1160  252  7  1 92  0  0  0
 1  0      0 217807860  37360 25773280    0    0     0     6 1141  187  7  1 92  0  0  0
 1  0      0 218041476  37368 25773200    0    0     0    12 1156  254  7  2 92  0  0  0
 1  0      0 217814968  37368 25773200    0    0     0     0 1129  194  8  1 92  0  0  0
 1  0      0 217956268  37368 25773232    0    0     0     6 1163  249  7  2 92  0  0  0
 1  0      0 217810560  37376 25773232    0    0     0    12 1137  199  8  0 92  0  0  0
 1  0      0 217912744  37376 25773232    0    0     0     0 1158  253  6  2 92  0  0  0
 1  0      0 217806888  37376 25773236    0    0     0     8 1131  182  8  0 92  0  0  0
 1  0      0 217873888  37384 25773240    0    0     0    18 2126  801  7  3 90  0  0  0
 1  0      0 217803916  37384 25773240    0    0     0     0 1127  189  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217826964  37384 25773224    0    0     0     6 1174  278  6  2 92  0  0  0
 1  0      0 217813540  37392 25773228    0    0     0    40 1138  185  8  0 92  0  0  0
 1  0      0 217794076  37392 25773244    0    0     0     0 1162  263  6  2 92  0  0  0
 1  0      0 217825004  37400 25773240    0    0     0    66 1749  607  8  0 91  0  0  0
 1  0      0 217663660  37400 25773260    0    0     0     0 1182  292  6  3 92  0  0  0
 1  0      0 217690160  37400 25773260    0    0     0     0 1125  171  8  0 92  0  0  0
 1  0      0 217667384  37408 25773292    0    0     0    20 1186  284  6  2 92  0  0  0
 1  0      0 217681964  37408 25773292    0    0     0     0 1131  166  8  0 92  0  0  0
 1  0      0 217668392  37408 25773292    0    0     0     0 1175  281  6  2 92  0  0  0
 1  0      0 217694892  37416 25773292    0    0     0    16 1153  186  8  0 92  0  0  0
 1  0      0 217665744  37416 25773260    0    0     0     0 1207  338  6  2 92  0  0  0
 1  0      0 217692244  37416 25773260    0    0     0     0 1112  163  8  0 92  0  0  0
 1  0      0 217662348  37424 25773292    0    0     0    16 1181  280  6  2 92  0  0  0
 1  0      0 217688848  37424 25773292    0    0     0     0 1126  180  8  0 92  0  0  0
 1  0      0 217660064  37424 25773292    0    0     0     0 1168  271  6  2 92  0  0  0
 1  0      0 217689436  37432 25773284    0    0     0    16 1132  177  8  0 92  0  0  0
 1  0      0 217659284  37432 25773276    0    0     0     0 1171  270  6  2 92  0  0  0
 1  0      0 217693856  37432 25773276    0    0     0     0 1117  163  8  0 92  0  0  0
 1  0      0 217681960  37440 25773276    0    0     0    16 1195  286  6  2 92  0  0  0
 1  0      0 217724588  37440 25773276    0    0     0     0 1123  166  8  0 92  0  0  0
 1  0      0 217736752  37440 25773308    0    0     0     0 1169  271  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217747760  37448 25773300    0    0     0    16 1127  170  8  0 92  0  0  0
 1  0      0 217743892  37448 25773260    0    0     0     0 1173  281  6  2 92  0  0  0
 1  0      0 217755044  37448 25773260    0    0     0     0 1122  163  8  0 92  0  0  0
 1  0      0 217757336  37456 25773312    0    0     0    20 1749  611  6  2 91  0  0  0
 1  0      0 217772148  37456 25773312    0    0     0     0 1212  271  8  0 92  0  0  0
