procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 218447036  30672 25743788    0    0     0     5 1163  237  7  1 92  0  0  0
 1  0      0 218431656  30680 25743804    0    0     0     5 1531  441  7  2 91  0  0  0
 1  0      0 218442852  30688 25743824    0    0     0    24 1192  264  7  1 92  0  0  0
 1  0      0 218473440  30696 25743808    0    0     0     7 1167  246  7  1 92  0  0  0
 1  0      0 218438032  30696 25743808    0    0     0     5 1165  234  7  1 92  0  0  0
 1  0      0 218476752  30704 25743824    0    0     0     4 1167  253  7  1 92  0  0  0
 1  0      0 218438068  30712 25743808    0    0     0     4 1178  264  7  1 92  0  0  0
 1  0      0 218468096  30720 25743812    0    0     0     4 1418  416  7  1 92  0  0  0
 1  0      0 218437308  30728 25743812    0    0     0     9 1174  247  7  1 92  0  0  0
 1  0      0 218419352  30736 25743796    0    0     0     9 1168  251  7  1 92  0  0  0
 1  0      0 218436060  30744 25743804    0    0     0     8 1181  245  7  1 92  0  0  0
 1  0      0 218416028  30744 25743812    0    0     0     2 1195  259  7  1 92  0  0  0
 1  0      0 218428484  30752 25743828    0    0     0     6 1161  238  7  1 92  0  0  0
 1  0      0 218410972  30760 25743812    0    0     0     6 1438  433  7  1 92  0  0  0
 1  0      0 218307140  30768 25743860    0    0     0     8 1170  244  7  1 92  0  0  0
 1  0      0 218493976  30776 25743828    0    0     0     5 1158  240  7  1 92  0  0  0
 1  0      0 218301728  30784 25743848    0    0     0     5 1162  238  7  1 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 218503044  30792 25743872    0    0     0     6 1175  253  7  1 92  0  0  0
 1  0      0 218355744  30792 25743852    0    0     0     2 1169  239  7  1 92  0  0  0
 1  0      0 218372980  30800 25743852    0    0     0     7 1545  437  8  1 91  0  0  0
 1  0      0 218399752  30808 25743852    0    0     0    19 1171  252  7  1 92  0  0  0
 1  0      0 218401580  30816 25743852    0    0     0     4 1150  230  7  1 92  0  0  0
 1  0      0 218375048  30824 25743836    0    0     0     3 1163  249  7  1 92  0  0  0
 1  0      0 218384660  30832 25743868    0    0     0     5 1157  229  7  1 92  0  0  0
 1  0      0 218401896  30840 25743848    0    0     0     6 1418  407  7  1 92  0  0  0
